in1,in2,chances,out
c13,c19,100,c13
c13,c20,100,c13
c14,c1,50,c14
c14,c2,51,c14
c14,c3,53,c14
c14,c4,56,c14
c14,c5,60,c14
c14,c6,65,c14
c14,c7,71,c14
c14,c8,78,c14
c14,c9,86,c14
c14,c10,95,c14
c14,c11,100,c14
c14,c12,100,c14
c14,c13,100,c14
c14,c14,100,c14
c14,c15,100,c14
c14,c16,100,c14
c14,c17,100,c14
c14,c18,100,c14
c14,c19,100,c14
c14,c20,100,c14
c15,c1,50,c15
c15,c2,51,c15
c15,c3,53,c15
c15,c4,56,c15
c15,c5,60,c15
c15,c6,65,c15
c15,c7,71,c15
c15,c8,78,c15
c15,c9,86,c15
c15,c10,95,c15
c15,c11,100,c15
c15,c12,100,c15
c15,c13,100,c15
c15,c14,100,c15
c15,c15,100,c15
c15,c16,100,c15
c15,c17,100,c15
c15,c18,100,c15
c15,c19,100,c15
c15,c20,100,c15
c16,c1,50,c16
c16,c2,51,c16
c16,c3,53,c16
c16,c4,56,c16
c16,c5,60,c16
c16,c6,65,c16
c16,c7,71,c16
c16,c8,78,c16
c16,c9,86,c16
c16,c10,95,c16
c16,c11,100,c16
c16,c12,100,c16
c16,c13,100,c16
c16,c14,100,c16
c16,c15,100,c16
c16,c16,100,c16
c16,c17,100,c16
c16,c18,100,c16
c16,c19,100,c16
c16,c20,100,c16
c17,c1,50,c17
c17,c2,51,c17
c17,c3,53,c17
c17,c4,56,c17
c17,c5,60,c17
c17,c6,65,c17
c17,c7,71,c17
c17,c8,78,c17
c17,c9,86,c17
c17,c10,95,c17
c17,c11,100,c17
c17,c12,100,c17
c17,c13,100,c17
c17,c14,100,c17
c17,c15,100,c17
c17,c16,100,c17
c17,c17,100,c17
c17,c18,100,c17
c17,c19,100,c17
c17,c20,100,c17
c18,c1,50,c18
c18,c2,51,c18
c18,c3,53,c18
c18,c4,56,c18
c18,c5,60,c18
c18,c6,65,c18
c18,c7,71,c18
c18,c8,78,c18
c18,c9,86,c18
c18,c10,95,c18
c18,c11,100,c18
c18,c12,100,c18
c18,c13,100,c18
c18,c14,100,c18
c18,c15,100,c18
c18,c16,100,c18
c18,c17,100,c18
c18,c18,100,c18
c18,c19,100,c18
c18,c20,100,c18
c19,c1,50,c19
c19,c2,51,c19
c19,c3,53,c19
c19,c4,56,c19
c19,c5,60,c19
c19,c6,65,c19
c19,c7,71,c19
c19,c8,78,c19
c19,c9,86,c19
c19,c10,95,c19
c19,c11,100,c19
c19,c12,100,c19
c19,c13,100,c19
c19,c14,100,c19
c19,c15,100,c19
c19,c16,100,c19
c19,c17,100,c19
c19,c18,100,c19
c19,c19,100,c19
c19,c20,100,c19
c20,c1,50,c20
c20,c2,51,c20
c20,c3,53,c20
c20,c4,56,c20
c20,c5,60,c20
c20,c6,65,c20
c20,c7,71,c20
c20,c8,78,c20
c20,c9,86,c20
c20,c10,95,c20
c20,c11,100,c20
c20,c12,100,c20
c20,c13,100,c20
c20,c14,100,c20
c20,c15,100,c20
c20,c16,100,c20
c20,c17,100,c20
c20,c18,100,c20
c20,c19,100,c20
c20,c20,100,c20
